class,domain,dmarc_status,policy,p,sp,pct,aspf,adkim,has_rua,has_ruf,spf_present,spf_includes,dnssec,mta_sts,tls_rpt,bimi,has_dmarc,enforcing
tenant,nasa.gov,present,reject,reject,,100,r,r,True,False,True,_spf-4a.nasa.gov _spf-4b.nasa.gov _spf-4c.nasa.gov _spf-4d.nasa.gov _spf-4g.nasa.gov _spf-4m.nasa.gov _spf-4x.nasa.gov _spf-6a.nasa.gov spf.protection.outlook.com,True,False,False,False,True,True
tenant,natashabedingfield.co.uk,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,natashabedingfield.com,present,reject,reject,reject,100,s,s,True,True,True,_spf.google.com,False,True,True,False,True,True
tenant,neildegrassetyson.com,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,neiltyson.com,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,netcloud.ch,present,quarantine,quarantine,,100,r,r,True,True,True,spf.nextron.ch spf.protection.outlook.com,False,False,True,False,True,True
tenant,networksolutions.com,present,quarantine,quarantine,quarantine,100,r,r,True,True,True,_spf.salesforce.com eig.spf.a.cloudfilter.net spf.protection.outlook.com spf.websitewelcome.com spf1.web.com spf2.web.com,False,False,False,False,True,True
tenant,nlnetlabs.nl,present,none,none,none,100,r,r,True,False,True,_spf.google.com mailbox.org,True,False,False,False,True,False
tenant,nsa.gov,present,reject,reject,reject,100,r,r,True,True,True,_spf.eemsg.mail.mil amazonses.com,True,False,False,False,True,True
tenant,nsfnow.com,present,reject,reject,reject,100,s,s,True,False,True,_spf.google.com,False,False,False,False,True,True
tenant,ohg-nagold.de,present,reject,reject,,100,r,r,False,False,False,,False,False,False,False,True,True
tenant,ohg-nagold.eu,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,omniware.de,absent,no DMARC,,,100,r,r,False,False,True,_spf.webhosting.systems,False,False,False,False,False,False
tenant,omzcloud.vn,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,openai.com,present,reject,reject,,100,r,r,True,True,True,8050860.spf04.hubspotemail.net _spf.google.com mktomail.com spf.protection.outlook.com spf_c.oraclecloud.com,False,False,False,True,True,True
tenant,optonline.net,present,none,none,,100,r,r,False,False,True,optimum.net,True,False,False,False,True,False
tenant,orcid.org,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com _spf.salesforce.com mail.zendesk.com,False,False,False,False,True,True
tenant,organiccomputer.me,present,reject,reject,reject,100,s,s,False,False,True,,True,False,False,True,True,True
tenant,ortopedieazuga.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,owccgb.org,present,reject,reject,,100,r,r,True,False,True,spf.protection.outlook.com,False,False,False,True,True,True
tenant,oxidesurvival.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,parinita.ai,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com,False,False,False,False,True,True
tenant,parinitaaiedge.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,patagonia.com,present,none,none,,100,r,r,True,False,True,_spf.salesforce.com _spf2.patagonia.com smp.ne.jp spf.protection.outlook.com,False,False,False,False,True,False
tenant,patientreminder.com,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,pdcnet.org,present,none,none,,100,r,r,True,False,True,_spf.google.com,False,False,False,False,True,False
tenant,permitdesk.biz,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,pizazzmusiccamp.org,present,reject,reject,,100,s,r,False,False,True,spf.guardedhost.com,False,False,False,False,True,True
tenant,play.198119799470.xyz,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,pocketflows.com,present,quarantine,quarantine,,50,r,r,True,False,True,_spf.google.com,True,False,False,False,True,True
tenant,poop.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,porp.stream,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,probe-us-01.dns-observe.com,present,reject,reject,reject,100,s,s,False,False,True,,False,False,False,False,True,True
tenant,probe-us-02.dns-observe.com,present,reject,reject,reject,100,s,s,False,False,True,,False,False,False,False,True,True
tenant,psihiatrietulghes.ro,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com,False,False,False,False,True,True
tenant,purple-securities.com,present,quarantine,quarantine,quarantine,100,r,r,True,False,True,_spf.mx.cloudflare.net,False,False,False,False,True,True
tenant,purpleflock.com,present,reject,reject,reject,100,r,r,True,False,True,spf.web-hosting.com,True,True,True,True,True,True
tenant,purpleflock.net,present,reject,reject,reject,100,r,r,True,False,True,,True,True,True,True,True,True
tenant,qualysperiscope.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,ransom-isac.org,present,reject,reject,,100,r,r,True,False,True,_spf.protonmail.ch send.klaviyo.com,True,False,False,False,True,True
tenant,raremaps.com,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com mailgun.org,False,False,False,False,True,True
tenant,ready-method.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,reconfirm.com,present,reject,reject,reject,100,r,s,True,True,True,spf.protection.outlook.com,True,True,True,False,True,True
tenant,red.com,present,none,none,,100,r,r,True,False,True,ap.rp.oracleemaildelivery.com eu.rp.oracleemaildelivery.com mail.zendesk.com rp.oracleemaildelivery.com sendgrid.net spf.protection.outlook.com,False,False,False,False,True,False
tenant,replit.com,present,reject,reject,,100,r,r,True,False,True,%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email mail.zendesk.com,False,False,False,False,True,True
tenant,restretail.com,present,quarantine,quarantine,quarantine,100,r,r,False,False,True,_spf.google.com,True,False,False,False,True,True
tenant,rg443.click,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,rocket-hd.cc,present,quarantine,quarantine,,100,r,r,True,False,True,,False,False,False,False,True,True
tenant,sanatoriulbusteni.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,sandiegocomputer.com,present,none,none,,100,r,r,False,False,True,authsmtp.com autotask.net spf.protection.outlook.com websitewelcome.com,False,False,False,False,True,False
tenant,sap.com,present,reject,reject,,100,s,s,True,False,True,_spf.sap.com,False,False,True,False,True,True
tenant,sap.de,present,reject,reject,,100,s,r,True,False,True,_spf.sap.com,False,False,False,False,True,True
tenant,scfcv.ro,present,none,none,,100,r,r,False,False,True,_spf.deepstorage.ro,False,False,False,False,True,False
tenant,schedule.it-help.tech,present,reject,reject,reject,100,r,r,False,False,True,,False,False,False,False,True,True
tenant,screen.it-help.tech,present,reject,reject,,100,r,r,False,False,False,,True,False,False,False,True,True
tenant,server.it-help.tech,present,reject,reject,,100,r,r,False,False,True,,False,False,False,False,True,True
tenant,sjv.ro,present,none,none,,100,r,r,False,False,True,stsmail.ro,False,False,False,False,True,False
tenant,smlugoj.ro,absent,no DMARC,,,100,r,r,False,False,True,relay.romarg.net,False,False,False,False,False,False
tenant,sovanta.com,present,reject,reject,,100,r,r,True,False,True,_spf.cmail.ondemand.com amazonses.com spf.academymaker.de spf.protection.outlook.com,False,False,False,False,True,True
tenant,spacex.com,present,reject,reject,,100,r,r,True,True,True,42559228.spf07.hubspotemail.net _spf.qemailserver.com icpbounce.com spf-003ea501.gpphosted.com spf-a.spacex.com spf-b.spacex.com spf.mandrillapp.com spf.protection.office365.us,False,False,False,False,True,True
tenant,spital-breaza.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,spital-deva.ro,present,reject,reject,,100,s,s,False,False,True,relay.romarg.net,False,False,False,False,True,True
tenant,spital-izvoru.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,spitalcampina.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,spitalgiurgiu.ro,present,reject,reject,reject,100,r,r,False,False,True,_netblock.opticnet.ro,False,False,False,False,True,True
tenant,spitalhorezu.ro,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,spitalmciuc.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,spitalmoldovanoua.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,spitalpoianamare.ro,present,none,none,,100,r,r,False,False,True,_include.gazduire.ro,False,False,False,False,True,False
tenant,spitalsighet.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,spitalsinaia.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,spitalsovata.ro,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,spitalul-municipal-timisoara.ro,absent,no DMARC,,,100,r,r,False,False,True,relay.romarg.net,False,False,False,False,False,False
tenant,spitalulhorezu.ro,present,reject,reject,,100,r,r,False,False,True,,False,False,False,False,True,True
tenant,spitalulhuedin.ro,present,none,none,,100,r,r,False,False,True,,False,False,False,False,True,False
tenant,spitalulorasenescbaicoi.ro,present,none,none,reject,100,r,s,True,True,True,,False,False,False,False,True,False
tenant,spjslatina.ro,present,quarantine,quarantine,none,100,r,r,False,False,True,_spf.globehosting.net mail.hostingww.com relay.mailchannels.net,False,False,True,False,True,True
tenant,sportcommunities.group,present,reject,reject,reject,100,r,r,True,False,True,spf.web-hosting.com,True,True,True,True,True,True
tenant,squareup.com,present,reject,reject,,100,r,r,True,True,True,%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email squareup.com._nspf.vali.email stspg-customer.com,False,False,False,False,True,True
tenant,sra.io,present,quarantine,quarantine,quarantine,100,r,r,True,True,True,4775985.spf10.hubspotemail.net spf.protection.outlook.com,False,False,False,False,True,True
tenant,steinr.eu,present,quarantine,quarantine,,100,r,r,True,True,True,mxroute.com,True,True,True,True,True,True
tenant,surland.de,present,quarantine,quarantine,quarantine,100,r,r,True,True,True,servers.mcsv.net,False,False,False,False,True,True
tenant,switch.com,present,quarantine,quarantine,,100,s,r,True,True,True,amazonses.com aspmx.pardot.com spf-00ab3a01.pphosted.com spf-westus.emailsignatures365.com spf.protection.outlook.com,False,False,False,False,True,True
tenant,switchnet.nv,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,swutch.com,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,technikfreak.co,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,telekom.de,present,quarantine,quarantine,,100,r,r,True,True,True,_spfa.telekom.com,False,False,True,False,True,True
tenant,tesla.com,present,reject,reject,,100,r,r,True,True,True,_spf.psm.knowbe4.com _spf.qualtrics.com _spf.ultipro.com _spfsn.teslamotors.com mail.zendesk.com spf.protection.outlook.com spf1.sendcloud.org spf2.sendcloud.org u13494342.wl093.sendgrid.net,False,False,False,True,True,True
tenant,thehumphries.org,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
tenant,theojouvin.com,present,quarantine,quarantine,,100,r,r,True,False,True,spf.web-hosting.com,False,False,False,False,True,True
tenant,tierarztpraxis-ludwigshafen.de,present,none,none,,100,r,r,True,True,True,secure-mailgate.com,False,False,True,False,True,False
tenant,torrent-syndikat.org,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,transbusbuzau.ro,absent,no DMARC,,,100,r,r,False,False,True,relay.romarg.net,False,False,False,False,False,False
tenant,ui.com,present,reject,reject,quarantine,100,r,s,True,False,True,_spf.google.com amazonses.com mail.zendesk.com mailsenders.netsuite.com shops.shopify.com spf1.mcsv.net,False,False,False,True,True,True
tenant,uke.de,present,reject,reject,,100,r,r,False,True,True,spf.embloom.com spf.protection.outlook.com spf.qb-feedback.com,False,False,False,False,True,True
tenant,uptimerobot.com,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com amazonses.com sendgrid.net,True,False,False,False,True,True
tenant,usa.gov,present,reject,reject,,100,r,r,True,True,True,532040.spf10.hubspotemail.net amazonses.com,True,False,False,False,True,True
tenant,valentin.run,present,reject,reject,,100,r,r,True,False,True,,False,True,True,False,True,True
tenant,vallige-api.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,vbabestm.ro,present,quarantine,quarantine,quarantine,100,r,r,True,False,True,spf.mxserver.ro,False,False,False,False,True,True
tenant,weather.gov,present,reject,reject,,100,r,r,True,False,False,,True,False,False,False,True,True
tenant,web-hosting.com,present,none,none,none,100,r,r,True,True,True,spf.mandrillapp.com spf.privateemail.com vpspanel.web-hosting.com,True,False,False,False,True,False
tenant,web3.foundation,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.google.com servers.mcsv.net,True,True,True,False,True,True
tenant,westbyforcongress.com,present,quarantine,quarantine,,100,r,r,True,True,True,_spf-usg2.ppe-hosted.com secureserver.net,True,True,True,False,True,True
tenant,westcappowerequipment.com,present,quarantine,quarantine,,100,r,r,True,False,True,edgepilot.com spf.messagelabs.com spf.protection.outlook.com,False,False,False,False,True,True
tenant,whitehouse.gov,present,reject,reject,,100,r,r,True,False,True,spf.mail.dmz.pitc.gov spf.mandrillapp.com spf.protection.outlook.com,True,False,False,True,True,True
tenant,wikipedia.org,present,reject,reject,,100,r,r,True,False,True,_cidrs.wikimedia.org,False,False,False,False,True,True
tenant,wiredsd.com,present,none,none,,100,r,r,True,False,True,spf.em.secureserver.net spf.protection.outlook.com,False,False,False,False,True,False
tenant,wisestamp.com,present,reject,reject,reject,100,r,r,True,True,True,_spf.google.com customeriomail.com mail.zendesk.com outbound.smtp.wisestamp.net stspg-customer.com,False,False,False,False,True,True
tenant,wolfintegrated.com,absent,no DMARC,,,100,r,r,False,False,True,spf.protection.outlook.com,False,False,False,False,False,False
tenant,www.cnn.com,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,www.franklinroadacademy.com,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,www.mercadopago.com,absent,no DMARC,,,100,r,r,False,False,False,,True,False,False,False,False,False
tenant,yconsultingservice.com,present,reject,reject,reject,100,r,r,True,True,True,_spf.google.com _spf.paubox.com _u.yconsultingservice.com._spf.smart.ondmarc.com,False,True,True,False,True,True
tenant,yutaika.ru,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,z1mac.com,absent,no DMARC,,,100,r,r,False,False,False,,False,False,False,False,False,False
tenant,zmacnashville.net,absent,no DMARC,,,100,r,r,False,False,True,dc-aa8e722993._spfm.zmacnashville.net,False,False,False,False,False,False
